cod_ibge,municipio,tributo,modelo,target_year,pred_annual,real_annual
2900306,Acajutiba,ISSQN,Naive,2021,519219.42708497524,1017023.0459527738
2900306,Acajutiba,ISSQN,ETS,2021,532697.3557362368,1017023.0459527738
2900306,Acajutiba,ISSQN,SARIMA,2021,551657.9505992464,1017023.0459527738
2900306,Acajutiba,ISSQN,Theta,2021,612940.0834483149,1017023.0459527738
2900306,Acajutiba,ISSQN,Prophet,2021,774677.3860382842,1017023.0459527738
2900306,Acajutiba,ISSQN,Ensemble,2021,617993.1939555206,1017023.0459527738
2900306,Acajutiba,ISSQN,Naive,2022,1017023.0459527738,1186533.5750210516
2900306,Acajutiba,ISSQN,ETS,2022,1032608.659610443,1186533.5750210516
2900306,Acajutiba,ISSQN,SARIMA,2022,1355979.8627336263,1186533.5750210516
2900306,Acajutiba,ISSQN,Theta,2022,1140294.417516747,1186533.5750210516
2900306,Acajutiba,ISSQN,Prophet,2022,979660.839676628,1186533.5750210516
2900306,Acajutiba,ISSQN,Ensemble,2022,1127135.944884361,1186533.5750210516
2900306,Acajutiba,ISSQN,Naive,2023,1186533.5750210516,1424033.3398689455
2900306,Acajutiba,ISSQN,ETS,2023,1403371.111739356,1424033.3398689455
2900306,Acajutiba,ISSQN,SARIMA,2023,1786510.4907293587,1424033.3398689455
2900306,Acajutiba,ISSQN,Theta,2023,1519243.554640702,1424033.3398689455
2900306,Acajutiba,ISSQN,Prophet,2023,1177836.861457461,1424033.3398689455
2900306,Acajutiba,ISSQN,Ensemble,2023,1471740.5046417196,1424033.3398689455
2900306,Acajutiba,ISSQN,Naive,2024,1424033.3398689455,1384662.1289922972
2900306,Acajutiba,ISSQN,ETS,2024,1357954.6239833722,1384662.1289922972
2900306,Acajutiba,ISSQN,SARIMA,2024,1557805.219541957,1384662.1289922972
2900306,Acajutiba,ISSQN,Theta,2024,1479866.3806961211,1384662.1289922972
2900306,Acajutiba,ISSQN,Prophet,2024,1416710.942580927,1384662.1289922972
2900306,Acajutiba,ISSQN,Ensemble,2024,1453084.2917005944,1384662.1289922972
2900306,Acajutiba,ISSQN,Naive,2025,1384662.1289922972,959385.126356113
2900306,Acajutiba,ISSQN,ETS,2025,1566203.218529277,959385.126356113
2900306,Acajutiba,ISSQN,SARIMA,2025,1666998.3087871596,959385.126356113
2900306,Acajutiba,ISSQN,Theta,2025,1526416.2928980002,959385.126356113
2900306,Acajutiba,ISSQN,Prophet,2025,1521930.0430465152,959385.126356113
2900306,Acajutiba,ISSQN,Ensemble,2025,1570386.9658152382,959385.126356113
2900801,Alcobaça,ISSQN,Naive,2021,6342973.088721653,5581281.095537614
2900801,Alcobaça,ISSQN,ETS,2021,5477907.518085148,5581281.095537614
2900801,Alcobaça,ISSQN,SARIMA,2021,3818052.2631322416,5581281.095537614
2900801,Alcobaça,ISSQN,Theta,2021,5794474.014733648,5581281.095537614
2900801,Alcobaça,ISSQN,Prophet,2021,5739049.525119277,5581281.095537614
2900801,Alcobaça,ISSQN,Ensemble,2021,5207370.830267579,5581281.095537614
2900801,Alcobaça,ISSQN,Naive,2022,5581281.095537614,6004363.823649836
2900801,Alcobaça,ISSQN,ETS,2022,5503548.28558273,6004363.823649836
2900801,Alcobaça,ISSQN,SARIMA,2022,5594747.956854716,6004363.823649836
2900801,Alcobaça,ISSQN,Theta,2022,5746160.581616256,6004363.823649836
2900801,Alcobaça,ISSQN,Prophet,2022,5981529.600695141,6004363.823649836
2900801,Alcobaça,ISSQN,Ensemble,2022,5706496.606187211,6004363.823649836
2900801,Alcobaça,ISSQN,Naive,2023,6004363.823649836,6226967.205803036
2900801,Alcobaça,ISSQN,ETS,2023,5793990.184044258,6226967.205803036
