origin,train_end,step,target_date,y_true,y_pred,insample_scale,modelo
2020-12-01,2020-12-01,1,2021-01-01,16543166.329284055,16735016.479829319,5553458.677585753,ETS
2020-12-01,2020-12-01,2,2021-02-01,14407952.673525412,16735016.479829319,5553458.677585753,ETS
2020-12-01,2020-12-01,3,2021-03-01,14855886.310192015,16735016.479829319,5553458.677585753,ETS
2020-12-01,2020-12-01,4,2021-04-01,15524759.746510506,16735016.479829319,5553458.677585753,ETS
2020-12-01,2020-12-01,5,2021-05-01,15908108.22397056,16735016.479829319,5553458.677585753,ETS
2020-12-01,2020-12-01,6,2021-06-01,16430714.61503123,16735016.479829319,5553458.677585753,ETS
2020-12-01,2020-12-01,7,2021-07-01,15765340.012123786,16735016.479829319,5553458.677585753,ETS
2020-12-01,2020-12-01,8,2021-08-01,17793395.258316882,16735016.479829319,5553458.677585753,ETS
2020-12-01,2020-12-01,9,2021-09-01,17701014.731764168,16735016.479829319,5553458.677585753,ETS
2020-12-01,2020-12-01,10,2021-10-01,17758714.841657992,16735016.479829319,5553458.677585753,ETS
2020-12-01,2020-12-01,11,2021-11-01,17407028.491258733,16735016.479829319,5553458.677585753,ETS
2020-12-01,2020-12-01,12,2021-12-01,20432534.845650554,16735016.479829319,5553458.677585753,ETS
2021-01-01,2021-01-01,1,2021-02-01,14407952.673525412,16583492.575805401,5499177.086358078,ETS
2021-01-01,2021-01-01,2,2021-03-01,14855886.310192015,16583492.575805401,5499177.086358078,ETS
2021-01-01,2021-01-01,3,2021-04-01,15524759.746510506,16583492.575805401,5499177.086358078,ETS
2021-01-01,2021-01-01,4,2021-05-01,15908108.22397056,16583492.575805401,5499177.086358078,ETS
2021-01-01,2021-01-01,5,2021-06-01,16430714.61503123,16583492.575805401,5499177.086358078,ETS
2021-01-01,2021-01-01,6,2021-07-01,15765340.012123786,16583492.575805401,5499177.086358078,ETS
2021-01-01,2021-01-01,7,2021-08-01,17793395.258316882,16583492.575805401,5499177.086358078,ETS
2021-01-01,2021-01-01,8,2021-09-01,17701014.731764168,16583492.575805401,5499177.086358078,ETS
2021-01-01,2021-01-01,9,2021-10-01,17758714.841657992,16583492.575805401,5499177.086358078,ETS
2021-01-01,2021-01-01,10,2021-11-01,17407028.491258733,16583492.575805401,5499177.086358078,ETS
2021-01-01,2021-01-01,11,2021-12-01,20432534.845650554,16583492.575805401,5499177.086358078,ETS
2021-01-01,2021-01-01,12,2022-01-01,21092285.296450797,16583492.575805401,5499177.086358078,ETS
2021-02-01,2021-02-01,1,2021-03-01,14855886.310192015,14869840.802299408,5479117.588526272,ETS
2021-02-01,2021-02-01,2,2021-04-01,15524759.746510506,14869840.802299408,5479117.588526272,ETS
2021-02-01,2021-02-01,3,2021-05-01,15908108.22397056,14869840.802299408,5479117.588526272,ETS
2021-02-01,2021-02-01,4,2021-06-01,16430714.61503123,14869840.802299408,5479117.588526272,ETS
2021-02-01,2021-02-01,5,2021-07-01,15765340.012123786,14869840.802299408,5479117.588526272,ETS
2021-02-01,2021-02-01,6,2021-08-01,17793395.258316882,14869840.802299408,5479117.588526272,ETS
2021-02-01,2021-02-01,7,2021-09-01,17701014.731764168,14869840.802299408,5479117.588526272,ETS
2021-02-01,2021-02-01,8,2021-10-01,17758714.841657992,14869840.802299408,5479117.588526272,ETS
2021-02-01,2021-02-01,9,2021-11-01,17407028.491258733,14869840.802299408,5479117.588526272,ETS
2021-02-01,2021-02-01,10,2021-12-01,20432534.845650554,14869840.802299408,5479117.588526272,ETS
2021-02-01,2021-02-01,11,2022-01-01,21092285.296450797,14869840.802299408,5479117.588526272,ETS
2021-02-01,2021-02-01,12,2022-02-01,16186897.483220601,14869840.802299408,5479117.588526272,ETS
2021-03-01,2021-03-01,1,2021-04-01,15524759.746510506,14858850.010462105,5399494.063566544,ETS
2021-03-01,2021-03-01,2,2021-05-01,15908108.22397056,14858850.010462105,5399494.063566544,ETS
2021-03-01,2021-03-01,3,2021-06-01,16430714.61503123,14858850.010462105,5399494.063566544,ETS
2021-03-01,2021-03-01,4,2021-07-01,15765340.012123786,14858850.010462105,5399494.063566544,ETS
2021-03-01,2021-03-01,5,2021-08-01,17793395.258316882,14858850.010462105,5399494.063566544,ETS
2021-03-01,2021-03-01,6,2021-09-01,17701014.731764168,14858850.010462105,5399494.063566544,ETS
2021-03-01,2021-03-01,7,2021-10-01,17758714.841657992,14858850.010462105,5399494.063566544,ETS
2021-03-01,2021-03-01,8,2021-11-01,17407028.491258733,14858850.010462105,5399494.063566544,ETS
2021-03-01,2021-03-01,9,2021-12-01,20432534.845650554,14858850.010462105,5399494.063566544,ETS
