origin,train_end,step,target_date,y_true,y_pred,insample_scale,modelo
2020-12-01,2020-12-01,1,2021-01-01,16543166.329284055,18785447.941981673,5553458.677585753,Naive
2020-12-01,2020-12-01,2,2021-02-01,14407952.673525412,18663440.89431152,5553458.677585753,Naive
2020-12-01,2020-12-01,3,2021-03-01,14855886.310192015,15318721.826255413,5553458.677585753,Naive
2020-12-01,2020-12-01,4,2021-04-01,15524759.746510506,15523782.74742439,5553458.677585753,Naive
2020-12-01,2020-12-01,5,2021-05-01,15908108.22397056,12686546.557102365,5553458.677585753,Naive
2020-12-01,2020-12-01,6,2021-06-01,16430714.61503123,11660013.98178747,5553458.677585753,Naive
2020-12-01,2020-12-01,7,2021-07-01,15765340.012123786,13758716.764084388,5553458.677585753,Naive
2020-12-01,2020-12-01,8,2021-08-01,17793395.258316882,13323316.211153105,5553458.677585753,Naive
2020-12-01,2020-12-01,9,2021-09-01,17701014.731764168,13966334.13123472,5553458.677585753,Naive
2020-12-01,2020-12-01,10,2021-10-01,17758714.841657992,14341882.098049797,5553458.677585753,Naive
2020-12-01,2020-12-01,11,2021-11-01,17407028.491258733,15174929.118296979,5553458.677585753,Naive
2020-12-01,2020-12-01,12,2021-12-01,20432534.845650554,17202586.877394475,5553458.677585753,Naive
2021-01-01,2021-01-01,1,2021-02-01,14407952.673525412,18663440.89431152,5499177.086358078,Naive
2021-01-01,2021-01-01,2,2021-03-01,14855886.310192015,15318721.826255413,5499177.086358078,Naive
2021-01-01,2021-01-01,3,2021-04-01,15524759.746510506,15523782.74742439,5499177.086358078,Naive
2021-01-01,2021-01-01,4,2021-05-01,15908108.22397056,12686546.557102365,5499177.086358078,Naive
2021-01-01,2021-01-01,5,2021-06-01,16430714.61503123,11660013.98178747,5499177.086358078,Naive
2021-01-01,2021-01-01,6,2021-07-01,15765340.012123786,13758716.764084388,5499177.086358078,Naive
2021-01-01,2021-01-01,7,2021-08-01,17793395.258316882,13323316.211153105,5499177.086358078,Naive
2021-01-01,2021-01-01,8,2021-09-01,17701014.731764168,13966334.13123472,5499177.086358078,Naive
2021-01-01,2021-01-01,9,2021-10-01,17758714.841657992,14341882.098049797,5499177.086358078,Naive
2021-01-01,2021-01-01,10,2021-11-01,17407028.491258733,15174929.118296979,5499177.086358078,Naive
2021-01-01,2021-01-01,11,2021-12-01,20432534.845650554,17202586.877394475,5499177.086358078,Naive
2021-01-01,2021-01-01,12,2022-01-01,21092285.296450797,16543166.329284055,5499177.086358078,Naive
2021-02-01,2021-02-01,1,2021-03-01,14855886.310192015,15318721.826255413,5479117.588526272,Naive
2021-02-01,2021-02-01,2,2021-04-01,15524759.746510506,15523782.74742439,5479117.588526272,Naive
2021-02-01,2021-02-01,3,2021-05-01,15908108.22397056,12686546.557102365,5479117.588526272,Naive
2021-02-01,2021-02-01,4,2021-06-01,16430714.61503123,11660013.98178747,5479117.588526272,Naive
2021-02-01,2021-02-01,5,2021-07-01,15765340.012123786,13758716.764084388,5479117.588526272,Naive
2021-02-01,2021-02-01,6,2021-08-01,17793395.258316882,13323316.211153105,5479117.588526272,Naive
2021-02-01,2021-02-01,7,2021-09-01,17701014.731764168,13966334.13123472,5479117.588526272,Naive
2021-02-01,2021-02-01,8,2021-10-01,17758714.841657992,14341882.098049797,5479117.588526272,Naive
2021-02-01,2021-02-01,9,2021-11-01,17407028.491258733,15174929.118296979,5479117.588526272,Naive
2021-02-01,2021-02-01,10,2021-12-01,20432534.845650554,17202586.877394475,5479117.588526272,Naive
2021-02-01,2021-02-01,11,2022-01-01,21092285.296450797,16543166.329284055,5479117.588526272,Naive
2021-02-01,2021-02-01,12,2022-02-01,16186897.483220601,14407952.673525412,5479117.588526272,Naive
2021-03-01,2021-03-01,1,2021-04-01,15524759.746510506,15523782.74742439,5399494.063566544,Naive
2021-03-01,2021-03-01,2,2021-05-01,15908108.22397056,12686546.557102365,5399494.063566544,Naive
2021-03-01,2021-03-01,3,2021-06-01,16430714.61503123,11660013.98178747,5399494.063566544,Naive
2021-03-01,2021-03-01,4,2021-07-01,15765340.012123786,13758716.764084388,5399494.063566544,Naive
2021-03-01,2021-03-01,5,2021-08-01,17793395.258316882,13323316.211153105,5399494.063566544,Naive
2021-03-01,2021-03-01,6,2021-09-01,17701014.731764168,13966334.13123472,5399494.063566544,Naive
2021-03-01,2021-03-01,7,2021-10-01,17758714.841657992,14341882.098049797,5399494.063566544,Naive
2021-03-01,2021-03-01,8,2021-11-01,17407028.491258733,15174929.118296979,5399494.063566544,Naive
