origin,train_end,step,target_date,y_true,y_pred,insample_scale,modelo
2020-12-01,2020-12-01,1,2021-01-01,16543166.329284055,19453613.50855063,5553458.677585753,Prophet
2020-12-01,2020-12-01,2,2021-02-01,14407952.673525412,15373436.353370218,5553458.677585753,Prophet
2020-12-01,2020-12-01,3,2021-03-01,14855886.310192015,14956474.211438917,5553458.677585753,Prophet
2020-12-01,2020-12-01,4,2021-04-01,15524759.746510506,15320191.67487334,5553458.677585753,Prophet
2020-12-01,2020-12-01,5,2021-05-01,15908108.22397056,14134018.791992763,5553458.677585753,Prophet
2020-12-01,2020-12-01,6,2021-06-01,16430714.61503123,14587249.582666198,5553458.677585753,Prophet
2020-12-01,2020-12-01,7,2021-07-01,15765340.012123786,15078247.336144306,5553458.677585753,Prophet
2020-12-01,2020-12-01,8,2021-08-01,17793395.258316882,15673171.862372747,5553458.677585753,Prophet
2020-12-01,2020-12-01,9,2021-09-01,17701014.731764168,15643299.288671698,5553458.677585753,Prophet
2020-12-01,2020-12-01,10,2021-10-01,17758714.841657992,16031276.664897973,5553458.677585753,Prophet
2020-12-01,2020-12-01,11,2021-11-01,17407028.491258733,16146462.352203514,5553458.677585753,Prophet
2020-12-01,2020-12-01,12,2021-12-01,20432534.845650554,18118636.023421492,5553458.677585753,Prophet
2021-01-01,2021-01-01,1,2021-02-01,14407952.673525412,15247647.287990684,5499177.086358078,Prophet
2021-01-01,2021-01-01,2,2021-03-01,14855886.310192015,14759120.676322727,5499177.086358078,Prophet
2021-01-01,2021-01-01,3,2021-04-01,15524759.746510506,15150751.510155946,5499177.086358078,Prophet
2021-01-01,2021-01-01,4,2021-05-01,15908108.22397056,13941672.515494896,5499177.086358078,Prophet
2021-01-01,2021-01-01,5,2021-06-01,16430714.61503123,14432903.312624566,5499177.086358078,Prophet
2021-01-01,2021-01-01,6,2021-07-01,15765340.012123786,14876287.31359086,5499177.086358078,Prophet
2021-01-01,2021-01-01,7,2021-08-01,17793395.258316882,15503207.000377469,5499177.086358078,Prophet
2021-01-01,2021-01-01,8,2021-09-01,17701014.731764168,15436828.175553108,5499177.086358078,Prophet
2021-01-01,2021-01-01,9,2021-10-01,17758714.841657992,15861308.09402519,5499177.086358078,Prophet
2021-01-01,2021-01-01,10,2021-11-01,17407028.491258733,15928415.730387688,5499177.086358078,Prophet
2021-01-01,2021-01-01,11,2021-12-01,20432534.845650554,17928248.796394784,5499177.086358078,Prophet
2021-01-01,2021-01-01,12,2022-01-01,21092285.296450797,19423270.280137077,5499177.086358078,Prophet
2021-02-01,2021-02-01,1,2021-03-01,14855886.310192015,14720420.249256518,5479117.588526272,Prophet
2021-02-01,2021-02-01,2,2021-04-01,15524759.746510506,15113893.956344683,5479117.588526272,Prophet
2021-02-01,2021-02-01,3,2021-05-01,15908108.22397056,13910167.352677094,5479117.588526272,Prophet
2021-02-01,2021-02-01,4,2021-06-01,16430714.61503123,14404281.120179098,5479117.588526272,Prophet
2021-02-01,2021-02-01,5,2021-07-01,15765340.012123786,14844084.870895008,5479117.588526272,Prophet
2021-02-01,2021-02-01,6,2021-08-01,17793395.258316882,15467828.009461414,5479117.588526272,Prophet
2021-02-01,2021-02-01,7,2021-09-01,17701014.731764168,15406607.345789304,5479117.588526272,Prophet
2021-02-01,2021-02-01,8,2021-10-01,17758714.841657992,15827751.851489117,5479117.588526272,Prophet
2021-02-01,2021-02-01,9,2021-11-01,17407028.491258733,15895681.758757176,5479117.588526272,Prophet
2021-02-01,2021-02-01,10,2021-12-01,20432534.845650554,17885933.768925566,5479117.588526272,Prophet
2021-02-01,2021-02-01,11,2022-01-01,21092285.296450797,19375540.8804267,5479117.588526272,Prophet
2021-02-01,2021-02-01,12,2022-02-01,16186897.483220601,15637457.369807515,5479117.588526272,Prophet
2021-03-01,2021-03-01,1,2021-04-01,15524759.746510506,15102957.489723532,5399494.063566544,Prophet
2021-03-01,2021-03-01,2,2021-05-01,15908108.22397056,13901320.701154431,5399494.063566544,Prophet
2021-03-01,2021-03-01,3,2021-06-01,16430714.61503123,14391507.784950871,5399494.063566544,Prophet
2021-03-01,2021-03-01,4,2021-07-01,15765340.012123786,14833842.801336436,5399494.063566544,Prophet
2021-03-01,2021-03-01,5,2021-08-01,17793395.258316882,15454857.93455853,5399494.063566544,Prophet
2021-03-01,2021-03-01,6,2021-09-01,17701014.731764168,15394574.755396413,5399494.063566544,Prophet
2021-03-01,2021-03-01,7,2021-10-01,17758714.841657992,15813165.73140701,5399494.063566544,Prophet
2021-03-01,2021-03-01,8,2021-11-01,17407028.491258733,15883151.172727384,5399494.063566544,Prophet
2021-03-01,2021-03-01,9,2021-12-01,20432534.845650554,17869543.122814704,5399494.063566544,Prophet
2021-03-01,2021-03-01,10,2022-01-01,21092285.296450797,19357449.975200202,5399494.063566544,Prophet
2021-03-01,2021-03-01,11,2022-02-01,16186897.483220601,15621312.096245527,5399494.063566544,Prophet
2021-03-01,2021-03-01,12,2022-03-01,20609813.782492623,15277736.429343443,5399494.063566544,Prophet
2021-04-01,2021-04-01,1,2021-05-01,15908108.22397056,13924777.794574583,5315142.2344340375,Prophet
2021-04-01,2021-04-01,2,2021-06-01,16430714.61503123,14414429.244189985,5315142.2344340375,Prophet
2021-04-01,2021-04-01,3,2021-07-01,15765340.012123786,14859687.600021474,5315142.2344340375,Prophet
2021-04-01,2021-04-01,4,2021-08-01,17793395.258316882,15481939.728724487,5315142.2344340375,Prophet
2021-04-01,2021-04-01,5,2021-09-01,17701014.731764168,15421303.392375145,5315142.2344340375,Prophet
2021-04-01,2021-04-01,6,2021-10-01,17758714.841657992,15840508.272355495,5315142.2344340375,Prophet
2021-04-01,2021-04-01,7,2021-11-01,17407028.491258733,15911891.69282165,5315142.2344340375,Prophet
2021-04-01,2021-04-01,8,2021-12-01,20432534.845650554,17903032.2370905,5315142.2344340375,Prophet
