origin,train_end,step,target_date,y_true,y_pred,insample_scale,modelo
2020-12-01,2020-12-01,1,2021-01-01,16543166.329284055,16795497.65860349,5553458.677585753,Theta
2020-12-01,2020-12-01,2,2021-02-01,14407952.673525412,16795497.65860349,5553458.677585753,Theta
2020-12-01,2020-12-01,3,2021-03-01,14855886.310192015,16795497.65860349,5553458.677585753,Theta
2020-12-01,2020-12-01,4,2021-04-01,15524759.746510506,16795497.65860349,5553458.677585753,Theta
2020-12-01,2020-12-01,5,2021-05-01,15908108.22397056,16795497.65860349,5553458.677585753,Theta
2020-12-01,2020-12-01,6,2021-06-01,16430714.61503123,16795497.65860349,5553458.677585753,Theta
2020-12-01,2020-12-01,7,2021-07-01,15765340.012123786,16795497.65860349,5553458.677585753,Theta
2020-12-01,2020-12-01,8,2021-08-01,17793395.258316882,16795497.65860349,5553458.677585753,Theta
2020-12-01,2020-12-01,9,2021-09-01,17701014.731764168,16795497.65860349,5553458.677585753,Theta
2020-12-01,2020-12-01,10,2021-10-01,17758714.841657992,16795497.65860349,5553458.677585753,Theta
2020-12-01,2020-12-01,11,2021-11-01,17407028.491258733,16795497.65860349,5553458.677585753,Theta
2020-12-01,2020-12-01,12,2021-12-01,20432534.845650554,16795497.65860349,5553458.677585753,Theta
2021-01-01,2021-01-01,1,2021-02-01,14407952.673525412,16589675.885879517,5499177.086358078,Theta
2021-01-01,2021-01-01,2,2021-03-01,14855886.310192015,16589675.885879517,5499177.086358078,Theta
2021-01-01,2021-01-01,3,2021-04-01,15524759.746510506,16589675.885879517,5499177.086358078,Theta
2021-01-01,2021-01-01,4,2021-05-01,15908108.22397056,16589675.885879517,5499177.086358078,Theta
2021-01-01,2021-01-01,5,2021-06-01,16430714.61503123,16589675.885879517,5499177.086358078,Theta
2021-01-01,2021-01-01,6,2021-07-01,15765340.012123786,16589675.885879517,5499177.086358078,Theta
2021-01-01,2021-01-01,7,2021-08-01,17793395.258316882,16589675.885879517,5499177.086358078,Theta
2021-01-01,2021-01-01,8,2021-09-01,17701014.731764168,16589675.885879517,5499177.086358078,Theta
2021-01-01,2021-01-01,9,2021-10-01,17758714.841657992,16589675.885879517,5499177.086358078,Theta
2021-01-01,2021-01-01,10,2021-11-01,17407028.491258733,16589675.885879517,5499177.086358078,Theta
2021-01-01,2021-01-01,11,2021-12-01,20432534.845650554,16589675.885879517,5499177.086358078,Theta
2021-01-01,2021-01-01,12,2022-01-01,21092285.296450797,16589675.885879517,5499177.086358078,Theta
2021-02-01,2021-02-01,1,2021-03-01,14855886.310192015,14815933.545140143,5479117.588526272,Theta
2021-02-01,2021-02-01,2,2021-04-01,15524759.746510506,14815933.545140143,5479117.588526272,Theta
2021-02-01,2021-02-01,3,2021-05-01,15908108.22397056,14815933.545140143,5479117.588526272,Theta
2021-02-01,2021-02-01,4,2021-06-01,16430714.61503123,14815933.545140143,5479117.588526272,Theta
2021-02-01,2021-02-01,5,2021-07-01,15765340.012123786,14815933.545140143,5479117.588526272,Theta
2021-02-01,2021-02-01,6,2021-08-01,17793395.258316882,14815933.545140143,5479117.588526272,Theta
2021-02-01,2021-02-01,7,2021-09-01,17701014.731764168,14815933.545140143,5479117.588526272,Theta
2021-02-01,2021-02-01,8,2021-10-01,17758714.841657992,14815933.545140143,5479117.588526272,Theta
2021-02-01,2021-02-01,9,2021-11-01,17407028.491258733,14815933.545140143,5479117.588526272,Theta
2021-02-01,2021-02-01,10,2021-12-01,20432534.845650554,14815933.545140143,5479117.588526272,Theta
2021-02-01,2021-02-01,11,2022-01-01,21092285.296450797,14815933.545140143,5479117.588526272,Theta
2021-02-01,2021-02-01,12,2022-02-01,16186897.483220601,14815933.545140143,5479117.588526272,Theta
2021-03-01,2021-03-01,1,2021-04-01,15524759.746510506,14848471.171615936,5399494.063566544,Theta
2021-03-01,2021-03-01,2,2021-05-01,15908108.22397056,14848471.171615936,5399494.063566544,Theta
2021-03-01,2021-03-01,3,2021-06-01,16430714.61503123,14848471.171615936,5399494.063566544,Theta
2021-03-01,2021-03-01,4,2021-07-01,15765340.012123786,14848471.171615936,5399494.063566544,Theta
2021-03-01,2021-03-01,5,2021-08-01,17793395.258316882,14848471.171615936,5399494.063566544,Theta
2021-03-01,2021-03-01,6,2021-09-01,17701014.731764168,14848471.171615936,5399494.063566544,Theta
2021-03-01,2021-03-01,7,2021-10-01,17758714.841657992,14848471.171615936,5399494.063566544,Theta
2021-03-01,2021-03-01,8,2021-11-01,17407028.491258733,14848471.171615936,5399494.063566544,Theta
2021-03-01,2021-03-01,9,2021-12-01,20432534.845650554,14848471.171615936,5399494.063566544,Theta
2021-03-01,2021-03-01,10,2022-01-01,21092285.296450797,14848471.171615936,5399494.063566544,Theta
2021-03-01,2021-03-01,11,2022-02-01,16186897.483220601,14848471.171615936,5399494.063566544,Theta
2021-03-01,2021-03-01,12,2022-03-01,20609813.782492623,14848471.171615936,5399494.063566544,Theta
2021-04-01,2021-04-01,1,2021-05-01,15908108.22397056,15397906.545810368,5315142.2344340375,Theta
2021-04-01,2021-04-01,2,2021-06-01,16430714.61503123,15397906.545810368,5315142.2344340375,Theta
2021-04-01,2021-04-01,3,2021-07-01,15765340.012123786,15397906.545810368,5315142.2344340375,Theta
2021-04-01,2021-04-01,4,2021-08-01,17793395.258316882,15397906.545810368,5315142.2344340375,Theta
