origin,train_end,step,target_date,y_true,y_pred,insample_scale,serie
2020-12-01,2020-12-01,1,2021-01-01,69000723.36417782,70472689.66108294,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,2,2021-02-01,321045951.24377316,329331374.7969689,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,3,2021-03-01,127432294.82771966,67686879.68856752,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,4,2021-04-01,57077310.06476509,46117891.48689111,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,5,2021-05-01,62874566.758613415,49181794.21352632,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,6,2021-06-01,64970539.980599545,55768058.49435893,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,7,2021-07-01,59657057.5193954,58450480.72683806,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,8,2021-08-01,67559564.12545998,52285791.63176102,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,9,2021-09-01,59308358.66786285,54267043.9406596,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,10,2021-10-01,53898960.48452419,87953542.26746824,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,11,2021-11-01,55536055.336053334,86339135.2435237,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,12,2021-12-01,60702736.74751406,89175159.49326342,10145027.427750492,salvador-IPTU
2021-01-01,2021-01-01,1,2021-02-01,321045951.24377316,-646378103.94135,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,2,2021-03-01,127432294.82771966,230660192.59123507,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,3,2021-04-01,57077310.06476509,-352643998.8379429,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,4,2021-05-01,62874566.758613415,599136260.5772071,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,5,2021-06-01,64970539.980599545,186656007.08135378,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,6,2021-07-01,59657057.5193954,-371470320.4155596,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,7,2021-08-01,67559564.12545998,598181925.432143,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,8,2021-09-01,59308358.66786285,183040568.18171918,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,9,2021-10-01,53898960.48452419,-355968188.4235239,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,10,2021-11-01,55536055.336053334,-110527590.69585633,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,11,2021-12-01,60702736.74751406,-38824973.338375166,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,12,2022-01-01,65044094.43652048,69000721.08981101,9997872.250671698,salvador-IPTU
2021-02-01,2021-02-01,1,2021-03-01,127432294.82771966,64723292.076023124,9942045.743510159,salvador-IPTU
2021-02-01,2021-02-01,2,2021-04-01,57077310.06476509,55149939.10224079,9942045.743510159,salvador-IPTU
2021-02-01,2021-02-01,3,2021-05-01,62874566.758613415,52126896.99180935,9942045.743510159,salvador-IPTU
2021-02-01,2021-02-01,4,2021-06-01,64970539.980599545,52496334.384496786,9942045.743510159,salvador-IPTU
2021-02-01,2021-02-01,5,2021-07-01,59657057.5193954,58622109.884937674,9942045.743510159,salvador-IPTU
2021-02-01,2021-02-01,6,2021-08-01,67559564.12545998,52682333.826344885,9942045.743510159,salvador-IPTU
2021-02-01,2021-02-01,7,2021-09-01,59308358.66786285,52030365.150266215,9942045.743510159,salvador-IPTU
