origin,train_end,step,target_date,y_true,y_pred,insample_scale,serie,municipio,tributo
2020-12-01,2020-12-01,1,2021-01-01,69000723.36417782,72099154.00398125,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,2,2021-02-01,321045951.24377316,312620143.47914565,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,3,2021-03-01,127432294.82771966,75878517.01670298,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,4,2021-04-01,57077310.06476509,68158743.51143639,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,5,2021-05-01,62874566.758613415,64534879.24605413,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,6,2021-06-01,64970539.980599545,64981396.87046598,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,7,2021-07-01,59657057.5193954,72995130.91756187,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,8,2021-08-01,67559564.12545998,64256526.19030911,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,9,2021-09-01,59308358.66786285,64595924.154557966,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,10,2021-10-01,53898960.48452419,66733664.58299777,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,11,2021-11-01,55536055.336053334,66889099.61813371,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,12,2021-12-01,60702736.74751406,74756188.75021006,10145027.427750492,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,1,2021-02-01,321045951.24377316,317028377.17507124,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,2,2021-03-01,127432294.82771966,74630177.14304224,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,3,2021-04-01,57077310.06476509,66918717.430444434,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,4,2021-05-01,62874566.758613415,63301006.506017596,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,5,2021-06-01,64970539.980599545,63564151.2213308,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,6,2021-07-01,59657057.5193954,71414238.54913834,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,7,2021-08-01,67559564.12545998,62926961.96768389,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,8,2021-09-01,59308358.66786285,63130380.2510528,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,9,2021-10-01,53898960.48452419,66104496.20806366,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,10,2021-11-01,55536055.336053334,65837401.41726789,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,11,2021-12-01,60702736.74751406,73696566.82349518,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,12,2022-01-01,65044094.43652048,72395220.12499772,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,1,2021-03-01,127432294.82771966,75242839.10942775,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,2,2021-04-01,57077310.06476509,67057980.01924373,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,3,2021-05-01,62874566.758613415,63300341.808841765,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,4,2021-06-01,64970539.980599545,63744299.651231974,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,5,2021-07-01,59657057.5193954,71844040.63116635,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,6,2021-08-01,67559564.12545998,63183896.20563045,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,7,2021-09-01,59308358.66786285,63098266.00049847,9942045.743510159,salvador-IPTU,salvador,IPTU
