origin,train_end,step,target_date,y_true,y_pred,insample_scale,serie,municipio,tributo
2020-12-01,2020-12-01,1,2021-01-01,69000723.36417782,64860006.75623657,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,2,2021-02-01,321045951.24377316,322273301.8165441,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,3,2021-03-01,127432294.82771966,62138085.08693051,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,4,2021-04-01,57077310.06476509,40076137.813402295,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,5,2021-05-01,62874566.758613415,42660434.28581108,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,6,2021-06-01,64970539.980599545,48632258.2196629,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,7,2021-07-01,59657057.5193954,50311286.93855657,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,8,2021-08-01,67559564.12545998,44042715.41809161,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,9,2021-09-01,59308358.66786285,45843906.04074209,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,10,2021-10-01,53898960.48452419,79255650.46019118,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,11,2021-11-01,55536055.336053334,79852826.02359614,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,12,2021-12-01,60702736.74751406,83868049.00371067,10145027.427750492,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,1,2021-02-01,321045951.24377316,322273301.8165441,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,2,2021-03-01,127432294.82771966,62138085.08693051,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,3,2021-04-01,57077310.06476509,40076137.813402295,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,4,2021-05-01,62874566.758613415,42660434.28581108,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,5,2021-06-01,64970539.980599545,48632258.2196629,9997872.250671698,salvador-IPTU,salvador,IPTU
