origin,train_end,step,target_date,y_true,y_pred,insample_scale,serie,municipio,tributo
2020-12-01,2020-12-01,1,2021-01-01,69000723.36417782,93176550.86364323,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,2,2021-02-01,321045951.24377316,490645889.28310823,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,3,2021-03-01,127432294.82771966,99575919.60443306,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,4,2021-04-01,57077310.06476509,85512684.50692648,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,5,2021-05-01,62874566.758613415,83282570.48253986,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,6,2021-06-01,64970539.980599545,85476412.6497166,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,7,2021-07-01,59657057.5193954,96911106.96109472,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,8,2021-08-01,67559564.12545998,85100546.90803428,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,9,2021-09-01,59308358.66786285,84512945.54294753,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,10,2021-10-01,53898960.48452419,80641479.69552724,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,11,2021-11-01,55536055.336053334,80865324.5359292,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,12,2021-12-01,60702736.74751406,95138152.3054563,10145027.427750492,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,1,2021-02-01,321045951.24377316,385105455.09949124,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,2,2021-03-01,127432294.82771966,78236258.21225095,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,3,2021-04-01,57077310.06476509,67254736.37764971,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,4,2021-05-01,62874566.758613415,65566415.02877607,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,5,2021-06-01,64970539.980599545,67360457.24775824,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,6,2021-07-01,59657057.5193954,75327883.15461083,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,7,2021-08-01,67559564.12545998,67196000.71226804,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,8,2021-09-01,59308358.66786285,66796746.87455009,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,9,2021-10-01,53898960.48452419,63798162.43385511,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,10,2021-11-01,55536055.336053334,64036306.5348692,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,11,2021-12-01,60702736.74751406,75410115.13068704,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,12,2022-01-01,65044094.43652048,77175271.16719307,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,1,2021-03-01,127432294.82771966,65713902.97965209,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,2,2021-04-01,57077310.06476509,56381509.19009795,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,3,2021-05-01,62874566.758613415,54861288.56838704,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,4,2021-06-01,64970539.980599545,56255680.159440495,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,5,2021-07-01,59657057.5193954,62791358.79338357,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,6,2021-08-01,67559564.12545998,55824206.479211666,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,7,2021-09-01,59308358.66786285,55473124.23173227,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,8,2021-10-01,53898960.48452419,52885399.016955465,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,9,2021-11-01,55536055.336053334,52985850.462659,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,10,2021-12-01,60702736.74751406,62283772.94845664,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,11,2022-01-01,65044094.43652048,63626896.62807213,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,12,2022-02-01,287530945.4916237,334705413.6484268,9942045.743510159,salvador-IPTU,salvador,IPTU
