origin,train_end,step,target_date,y_true,y_pred,insample_scale,serie
2020-12-01,2020-12-01,1,2021-01-01,69000723.36417782,70611721.47511213,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,2,2021-02-01,321045951.24377316,360356431.6559378,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,3,2021-03-01,127432294.82771966,71094336.8005344,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,4,2021-04-01,57077310.06476509,63309845.33578878,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,5,2021-05-01,62874566.758613415,58862385.99042551,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,6,2021-06-01,64970539.980599545,62295867.33964295,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,7,2021-07-01,59657057.5193954,69275808.60050267,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,8,2021-08-01,67559564.12545998,60909698.59168833,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,9,2021-09-01,59308358.66786285,59752879.10112645,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,10,2021-10-01,53898960.48452419,65522408.10640171,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,11,2021-11-01,55536055.336053334,64362451.305077225,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,12,2021-12-01,60702736.74751406,73300540.41577229,10145027.427750492,salvador-IPTU
2021-01-01,2021-01-01,1,2021-02-01,321045951.24377316,360313684.90072036,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,2,2021-03-01,127432294.82771966,71069212.06922522,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,3,2021-04-01,57077310.06476509,63306523.62046856,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,4,2021-05-01,62874566.758613415,58838438.1404094,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,5,2021-06-01,64970539.980599545,62293095.60720448,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,6,2021-07-01,59657057.5193954,69246895.02227665,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,7,2021-08-01,67559564.12545998,60908735.806902125,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,8,2021-09-01,59308358.66786285,59726983.46829201,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,9,2021-10-01,53898960.48452419,65518362.448431715,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,10,2021-11-01,55536055.336053334,64332945.36283542,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,11,2021-12-01,60702736.74751406,73297743.09758809,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,12,2022-01-01,65044094.43652048,71377929.14303863,9997872.250671698,salvador-IPTU
