origin,train_end,step,target_date,y_true,y_pred,insample_scale,serie
2020-12-01,2020-12-01,1,2021-01-01,69000723.36417782,139833496.89699876,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,2,2021-02-01,321045951.24377316,280052555.1328299,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,3,2021-03-01,127432294.82771966,142129551.70485243,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,4,2021-04-01,57077310.06476509,16081892.574190397,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,5,2021-05-01,62874566.758613415,79886624.43806133,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,6,2021-06-01,64970539.980599545,65977403.88874418,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,7,2021-07-01,59657057.5193954,49374992.68693029,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,8,2021-08-01,67559564.12545998,85035479.46094665,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,9,2021-09-01,59308358.66786285,43115927.61887045,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,10,2021-10-01,53898960.48452419,64013169.653102316,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,11,2021-11-01,55536055.336053334,90395106.97529057,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,12,2021-12-01,60702736.74751406,23853416.93285655,10145027.427750492,salvador-IPTU
2021-01-01,2021-01-01,1,2021-02-01,321045951.24377316,267214612.27485383,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,2,2021-03-01,127432294.82771966,138783356.1661894,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,3,2021-04-01,57077310.06476509,14697435.63204358,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,4,2021-05-01,62874566.758613415,76932378.59686463,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,5,2021-06-01,64970539.980599545,64231665.43000203,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,6,2021-07-01,59657057.5193954,46559136.2287418,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,7,2021-08-01,67559564.12545998,82622157.1707105,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,8,2021-09-01,59308358.66786285,41597430.865745865,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,9,2021-10-01,53898960.48452419,60585209.815779045,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,10,2021-11-01,55536055.336053334,88983605.74540365,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,11,2021-12-01,60702736.74751406,20280155.636601258,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,12,2022-01-01,65044094.43652048,127303262.03440073,9997872.250671698,salvador-IPTU
2021-02-01,2021-02-01,1,2021-03-01,127432294.82771966,147082940.74201354,9942045.743510159,salvador-IPTU
2021-02-01,2021-02-01,2,2021-04-01,57077310.06476509,13849569.346445886,9942045.743510159,salvador-IPTU
2021-02-01,2021-02-01,3,2021-05-01,62874566.758613415,80567774.36333194,9942045.743510159,salvador-IPTU
2021-02-01,2021-02-01,4,2021-06-01,64970539.980599545,67269344.33226399,9942045.743510159,salvador-IPTU
2021-02-01,2021-02-01,5,2021-07-01,59657057.5193954,47877204.212718174,9942045.743510159,salvador-IPTU
2021-02-01,2021-02-01,6,2021-08-01,67559564.12545998,86698942.90902032,9942045.743510159,salvador-IPTU
2021-02-01,2021-02-01,7,2021-09-01,59308358.66786285,42926614.19885741,9942045.743510159,salvador-IPTU
2021-02-01,2021-02-01,8,2021-10-01,53898960.48452419,62995690.4706131,9942045.743510159,salvador-IPTU
2021-02-01,2021-02-01,9,2021-11-01,55536055.336053334,93633810.46876982,9942045.743510159,salvador-IPTU
2021-02-01,2021-02-01,10,2021-12-01,60702736.74751406,19733238.00125242,9942045.743510159,salvador-IPTU
2021-02-01,2021-02-01,11,2022-01-01,65044094.43652048,134968069.2379012,9942045.743510159,salvador-IPTU
2021-02-01,2021-02-01,12,2022-02-01,287530945.4916237,294408968.4896377,9942045.743510159,salvador-IPTU
2021-03-01,2021-03-01,1,2021-04-01,57077310.06476509,12869298.312237747,10736377.263564026,salvador-IPTU
2021-03-01,2021-03-01,2,2021-05-01,62874566.758613415,80606385.00730745,10736377.263564026,salvador-IPTU
2021-03-01,2021-03-01,3,2021-06-01,64970539.980599545,66469234.93679519,10736377.263564026,salvador-IPTU
2021-03-01,2021-03-01,4,2021-07-01,59657057.5193954,47483465.145470396,10736377.263564026,salvador-IPTU
2021-03-01,2021-03-01,5,2021-08-01,67559564.12545998,86319570.13719384,10736377.263564026,salvador-IPTU
2021-03-01,2021-03-01,6,2021-09-01,59308358.66786285,42290620.13738241,10736377.263564026,salvador-IPTU
2021-03-01,2021-03-01,7,2021-10-01,53898960.48452419,62750265.494940646,10736377.263564026,salvador-IPTU
2021-03-01,2021-03-01,8,2021-11-01,55536055.336053334,92967096.5135922,10736377.263564026,salvador-IPTU
2021-03-01,2021-03-01,9,2021-12-01,60702736.74751406,19225427.012394805,10736377.263564026,salvador-IPTU
2021-03-01,2021-03-01,10,2022-01-01,65044094.43652048,134466643.3028327,10736377.263564026,salvador-IPTU
2021-03-01,2021-03-01,11,2022-02-01,287530945.4916237,291202379.3066004,10736377.263564026,salvador-IPTU
2021-03-01,2021-03-01,12,2022-03-01,123924826.15024877,150488915.19038332,10736377.263564026,salvador-IPTU
2021-04-01,2021-04-01,1,2021-05-01,62874566.758613415,82689591.49711868,10751307.212843925,salvador-IPTU
2021-04-01,2021-04-01,2,2021-06-01,64970539.980599545,65182458.036948755,10751307.212843925,salvador-IPTU
2021-04-01,2021-04-01,3,2021-07-01,59657057.5193954,48215577.688173585,10751307.212843925,salvador-IPTU
2021-04-01,2021-04-01,4,2021-08-01,67559564.12545998,86472352.29475595,10751307.212843925,salvador-IPTU
2021-04-01,2021-04-01,5,2021-09-01,59308358.66786285,41812849.73020238,10751307.212843925,salvador-IPTU
2021-04-01,2021-04-01,6,2021-10-01,53898960.48452419,63533872.89811704,10751307.212843925,salvador-IPTU
2021-04-01,2021-04-01,7,2021-11-01,55536055.336053334,92646131.69117019,10751307.212843925,salvador-IPTU
2021-04-01,2021-04-01,8,2021-12-01,60702736.74751406,19212859.33016916,10751307.212843925,salvador-IPTU
2021-04-01,2021-04-01,9,2022-01-01,65044094.43652048,135377863.91517463,10751307.212843925,salvador-IPTU
2021-04-01,2021-04-01,10,2022-02-01,287530945.4916237,290518161.06130594,10751307.212843925,salvador-IPTU
2021-04-01,2021-04-01,11,2022-03-01,123924826.15024877,152545873.77556318,10751307.212843925,salvador-IPTU
2021-04-01,2021-04-01,12,2022-04-01,61648619.59981778,19539165.64104602,10751307.212843925,salvador-IPTU
2021-05-01,2021-05-01,1,2021-06-01,64970539.980599545,64117206.13088001,10815207.936321974,salvador-IPTU
2021-05-01,2021-05-01,2,2021-07-01,59657057.5193954,48693558.796808355,10815207.936321974,salvador-IPTU
2021-05-01,2021-05-01,3,2021-08-01,67559564.12545998,85890777.73875289,10815207.936321974,salvador-IPTU
2021-05-01,2021-05-01,4,2021-09-01,59308358.66786285,41699326.941070914,10815207.936321974,salvador-IPTU
2021-05-01,2021-05-01,5,2021-10-01,53898960.48452419,63547787.405674435,10815207.936321974,salvador-IPTU
2021-05-01,2021-05-01,6,2021-11-01,55536055.336053334,92000242.70394343,10815207.936321974,salvador-IPTU
2021-05-01,2021-05-01,7,2021-12-01,60702736.74751406,19405204.141682047,10815207.936321974,salvador-IPTU
2021-05-01,2021-05-01,8,2022-01-01,65044094.43652048,134828226.81591323,10815207.936321974,salvador-IPTU
2021-05-01,2021-05-01,9,2022-02-01,287530945.4916237,288989016.74156845,10815207.936321974,salvador-IPTU
2021-05-01,2021-05-01,10,2022-03-01,123924826.15024877,152510718.43953088,10815207.936321974,salvador-IPTU
2021-05-01,2021-05-01,11,2022-04-01,61648619.59981778,18743732.995352894,10815207.936321974,salvador-IPTU
2021-05-01,2021-05-01,12,2022-05-01,68259379.93383087,82046359.08659367,10815207.936321974,salvador-IPTU
2021-06-01,2021-06-01,1,2021-07-01,59657057.5193954,48760868.07951797,10818447.263454236,salvador-IPTU
2021-06-01,2021-06-01,2,2021-08-01,67559564.12545998,85857131.16054566,10818447.263454236,salvador-IPTU
2021-06-01,2021-06-01,3,2021-09-01,59308358.66786285,41708817.92309993,10818447.263454236,salvador-IPTU
2021-06-01,2021-06-01,4,2021-10-01,53898960.48452419,63562646.675154574,10818447.263454236,salvador-IPTU
2021-06-01,2021-06-01,5,2021-11-01,55536055.336053334,91946370.04270294,10818447.263454236,salvador-IPTU
2021-06-01,2021-06-01,6,2021-12-01,60702736.74751406,19430851.099369958,10818447.263454236,salvador-IPTU
2021-06-01,2021-06-01,7,2022-01-01,65044094.43652048,134665964.42142248,10818447.263454236,salvador-IPTU
2021-06-01,2021-06-01,8,2022-02-01,287530945.4916237,288501749.7849002,10818447.263454236,salvador-IPTU
2021-06-01,2021-06-01,9,2022-03-01,123924826.15024877,152215279.35121801,10818447.263454236,salvador-IPTU
2021-06-01,2021-06-01,10,2022-04-01,61648619.59981778,18753338.23569616,10818447.263454236,salvador-IPTU
2021-06-01,2021-06-01,11,2022-05-01,68259379.93383087,82003069.017932,10818447.263454236,salvador-IPTU
2021-06-01,2021-06-01,12,2022-06-01,60097620.00360337,66819908.11745983,10818447.263454236,salvador-IPTU
2021-07-01,2021-07-01,1,2021-08-01,67559564.12545998,86509982.88551651,10717224.05574527,salvador-IPTU
2021-07-01,2021-07-01,2,2021-09-01,59308358.66786285,41451556.65021368,10717224.05574527,salvador-IPTU
2021-07-01,2021-07-01,3,2021-10-01,53898960.48452419,63866119.35143052,10717224.05574527,salvador-IPTU
2021-07-01,2021-07-01,4,2021-11-01,55536055.336053334,92174442.50786196,10717224.05574527,salvador-IPTU
2021-07-01,2021-07-01,5,2021-12-01,60702736.74751406,19329232.049935505,10717224.05574527,salvador-IPTU
2021-07-01,2021-07-01,6,2022-01-01,65044094.43652048,135239940.62564647,10717224.05574527,salvador-IPTU
2021-07-01,2021-07-01,7,2022-02-01,287530945.4916237,289315567.99147487,10717224.05574527,salvador-IPTU
2021-07-01,2021-07-01,8,2022-03-01,123924826.15024877,152702689.55153653,10717224.05574527,salvador-IPTU
2021-07-01,2021-07-01,9,2022-04-01,61648619.59981778,18966546.46542808,10717224.05574527,salvador-IPTU
2021-07-01,2021-07-01,10,2022-05-01,68259379.93383087,81931469.63847552,10717224.05574527,salvador-IPTU
2021-07-01,2021-07-01,11,2022-06-01,60097620.00360337,67466736.93208174,10717224.05574527,salvador-IPTU
2021-07-01,2021-07-01,12,2022-07-01,66773806.91903504,51764877.718438715,10717224.05574527,salvador-IPTU
2021-08-01,2021-08-01,1,2021-09-01,59308358.66786285,40472182.20990623,10827376.208947297,salvador-IPTU
2021-08-01,2021-08-01,2,2021-10-01,53898960.48452419,64143360.8861438,10827376.208947297,salvador-IPTU
2021-08-01,2021-08-01,3,2021-11-01,55536055.336053334,91525915.53281716,10827376.208947297,salvador-IPTU
2021-08-01,2021-08-01,4,2021-12-01,60702736.74751406,19200173.9063811,10827376.208947297,salvador-IPTU
2021-08-01,2021-08-01,5,2022-01-01,65044094.43652048,134853097.3695136,10827376.208947297,salvador-IPTU
2021-08-01,2021-08-01,6,2022-02-01,287530945.4916237,287925349.766061,10827376.208947297,salvador-IPTU
2021-08-01,2021-08-01,7,2022-03-01,123924826.15024877,152324655.551469,10827376.208947297,salvador-IPTU
2021-08-01,2021-08-01,8,2022-04-01,61648619.59981778,18884119.39675986,10827376.208947297,salvador-IPTU
2021-08-01,2021-08-01,9,2022-05-01,68259379.93383087,81257696.25218774,10827376.208947297,salvador-IPTU
2021-08-01,2021-08-01,10,2022-06-01,60097620.00360337,67745680.987773,10827376.208947297,salvador-IPTU
2021-08-01,2021-08-01,11,2022-07-01,66773806.91903504,50797107.94254483,10827376.208947297,salvador-IPTU
2021-08-01,2021-08-01,12,2022-08-01,66532703.77148832,86482296.81622861,10827376.208947297,salvador-IPTU
2021-09-01,2021-09-01,1,2021-10-01,53898960.48452419,65036745.45746309,10788648.64640075,salvador-IPTU
2021-09-01,2021-09-01,2,2021-11-01,55536055.336053334,91034859.26972884,10788648.64640075,salvador-IPTU
2021-09-01,2021-09-01,3,2021-12-01,60702736.74751406,19488348.959469896,10788648.64640075,salvador-IPTU
2021-09-01,2021-09-01,4,2022-01-01,65044094.43652048,135076514.91334555,10788648.64640075,salvador-IPTU
2021-09-01,2021-09-01,5,2022-02-01,287530945.4916237,288181484.32198775,10788648.64640075,salvador-IPTU
2021-09-01,2021-09-01,6,2022-03-01,123924826.15024877,152859368.51681432,10788648.64640075,salvador-IPTU
2021-09-01,2021-09-01,7,2022-04-01,61648619.59981778,18714157.436010186,10788648.64640075,salvador-IPTU
2021-09-01,2021-09-01,8,2022-05-01,68259379.93383087,81310409.42874397,10788648.64640075,salvador-IPTU
2021-09-01,2021-09-01,9,2022-06-01,60097620.00360337,68151647.29230128,10788648.64640075,salvador-IPTU
2021-09-01,2021-09-01,10,2022-07-01,66773806.91903504,50294176.61860488,10788648.64640075,salvador-IPTU
2021-09-01,2021-09-01,11,2022-08-01,66532703.77148832,87290557.20769788,10788648.64640075,salvador-IPTU
2021-09-01,2021-09-01,12,2022-09-01,65121867.4887068,44838808.48675993,10788648.64640075,salvador-IPTU
2021-10-01,2021-10-01,1,2021-11-01,55536055.336053334,90523329.57306741,11072610.35444577,salvador-IPTU
2021-10-01,2021-10-01,2,2021-12-01,60702736.74751406,20032851.02588382,11072610.35444577,salvador-IPTU
2021-10-01,2021-10-01,3,2022-01-01,65044094.43652048,134735823.63246924,11072610.35444577,salvador-IPTU
2021-10-01,2021-10-01,4,2022-02-01,287530945.4916237,287492993.77253675,11072610.35444577,salvador-IPTU
2021-10-01,2021-10-01,5,2022-03-01,123924826.15024877,152730874.48709613,11072610.35444577,salvador-IPTU
2021-10-01,2021-10-01,6,2022-04-01,61648619.59981778,18717863.438520085,11072610.35444577,salvador-IPTU
2021-10-01,2021-10-01,7,2022-05-01,68259379.93383087,81386831.0619618,11072610.35444577,salvador-IPTU
2021-10-01,2021-10-01,8,2022-06-01,60097620.00360337,68180339.90976311,11072610.35444577,salvador-IPTU
2021-10-01,2021-10-01,9,2022-07-01,66773806.91903504,50168556.58507721,11072610.35444577,salvador-IPTU
2021-10-01,2021-10-01,10,2022-08-01,66532703.77148832,87568710.43647926,11072610.35444577,salvador-IPTU
2021-10-01,2021-10-01,11,2022-09-01,65121867.4887068,44479265.0911571,11072610.35444577,salvador-IPTU
2021-10-01,2021-10-01,12,2022-10-01,63488690.92613522,65119788.89276758,11072610.35444577,salvador-IPTU
2021-11-01,2021-11-01,1,2021-12-01,60702736.74751406,18104650.50558547,11333926.390600452,salvador-IPTU
2021-11-01,2021-11-01,2,2022-01-01,65044094.43652048,134654521.98820245,11333926.390600452,salvador-IPTU
2021-11-01,2021-11-01,3,2022-02-01,287530945.4916237,285077869.2407149,11333926.390600452,salvador-IPTU
