origin,train_end,step,target_date,y_true,y_pred,insample_scale,serie
2020-12-01,2020-12-01,1,2021-01-01,69000723.36417782,70456675.42512867,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,2,2021-02-01,321045951.24377316,328157360.92044306,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,3,2021-03-01,127432294.82771966,68309534.62583625,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,4,2021-04-01,57077310.06476509,46534977.78731486,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,5,2021-05-01,62874566.758613415,49406664.694730476,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,6,2021-06-01,64970539.980599545,55665879.06358911,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,7,2021-07-01,59657057.5193954,57632298.21748961,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,8,2021-08-01,67559564.12545998,51651117.13203147,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,9,2021-09-01,59308358.66786285,53739698.18968878,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,10,2021-10-01,53898960.48452419,87438833.04414469,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,11,2021-11-01,55536055.336053334,88323399.04255648,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,12,2021-12-01,60702736.74751406,92626012.45767783,10145027.427750492,salvador-IPTU
2021-01-01,2021-01-01,1,2021-02-01,321045951.24377316,327863662.7711657,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,2,2021-03-01,127432294.82771966,68009528.76228838,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,3,2021-04-01,57077310.06476509,46228664.20949646,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,4,2021-05-01,62874566.758613415,49094043.40264154,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,5,2021-06-01,64970539.980599545,55346950.05722965,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,6,2021-07-01,59657057.5193954,57307061.49685962,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,7,2021-08-01,67559564.12545998,51319572.69713096,9997872.250671698,salvador-IPTU
