origin,train_end,step,target_date,y_true,y_pred,insample_scale,serie
2020-12-01,2020-12-01,1,2021-01-01,69000723.36417782,92835685.90633564,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,2,2021-02-01,321045951.24377316,487961859.00271136,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,3,2021-03-01,127432294.82771966,98852067.35482368,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,4,2021-04-01,57077310.06476509,84738345.0777495,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,5,2021-05-01,62874566.758613415,82380764.61568663,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,6,2021-06-01,64970539.980599545,84400391.56471948,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,7,2021-07-01,59657057.5193954,95521775.73769474,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,8,2021-08-01,67559564.12545998,83732872.34176578,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,9,2021-09-01,59308358.66786285,83009116.94947785,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,10,2021-10-01,53898960.48452419,79068598.02760778,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,11,2021-11-01,55536055.336053334,79150729.69112812,10145027.427750492,salvador-IPTU
2020-12-01,2020-12-01,12,2021-12-01,60702736.74751406,92960478.63892582,10145027.427750492,salvador-IPTU
2021-01-01,2021-01-01,1,2021-02-01,321045951.24377316,382910664.6430703,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,2,2021-03-01,127432294.82771966,77607424.30756553,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,3,2021-04-01,57077310.06476509,66558353.480844036,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,4,2021-05-01,62874566.758613415,64737010.99888291,9997872.250671698,salvador-IPTU
2021-01-01,2021-01-01,5,2021-06-01,64970539.980599545,66355156.82389428,9997872.250671698,salvador-IPTU
