serie,municipio,tributo,origin,train_end,step,target_date,y_true,mu_log,sigma_log,y_pred_median,y_pred_mean,insample_scale
salvador-IPTU,salvador,IPTU,2020-12-01,2020-12-01,1,2021-01-01,69000723.36417782,18.231833893091228,0.14519678318613546,82791329.11936162,83668652.73502462,10145027.427750492
salvador-IPTU,salvador,IPTU,2020-12-01,2020-12-01,2,2021-02-01,321045951.24377316,19.770752471179243,0.17519975958245856,385770222.3056247,391736488.7197642,10145027.427750492
salvador-IPTU,salvador,IPTU,2020-12-01,2020-12-01,3,2021-03-01,127432294.82771966,18.121069179589043,0.18729362969297342,74110603.6774325,75421929.39319962,10145027.427750492
salvador-IPTU,salvador,IPTU,2020-12-01,2020-12-01,4,2021-04-01,57077310.06476509,17.84331114514238,0.1925570210501333,56137306.25658737,57187748.61291528,10145027.427750492
salvador-IPTU,salvador,IPTU,2020-12-01,2020-12-01,5,2021-05-01,62874566.758613415,17.82375321062301,0.19491020735989142,55050043.461444266,56105713.211767,10145027.427750492
salvador-IPTU,salvador,IPTU,2020-12-01,2020-12-01,6,2021-06-01,64970539.980599545,17.893740821698056,0.19597399275463062,59040890.53310615,60185602.744970724,10145027.427750492
salvador-IPTU,salvador,IPTU,2020-12-01,2020-12-01,7,2021-07-01,59657057.5193954,17.99937056865213,0.19645720765681257,65618653.698435456,66897241.15265579,10145027.427750492
salvador-IPTU,salvador,IPTU,2020-12-01,2020-12-01,8,2021-08-01,67559564.12545998,17.81702970901524,0.19667715594764815,54681155.90341192,55749035.11782102,10145027.427750492
salvador-IPTU,salvador,IPTU,2020-12-01,2020-12-01,9,2021-09-01,59308358.66786285,17.800991285348108,0.19677732035069775,53811151.75524358,54863121.55568854,10145027.427750492
salvador-IPTU,salvador,IPTU,2020-12-01,2020-12-01,10,2021-10-01,53898960.48452419,18.088516397369833,0.19682284850522783,71736941.59539855,73140003.18387054,10145027.427750492
salvador-IPTU,salvador,IPTU,2020-12-01,2020-12-01,11,2021-11-01,55536055.336053334,18.05287109235265,0.1968433122159075,69224893.76264422,70579107.93960504,10145027.427750492
salvador-IPTU,salvador,IPTU,2020-12-01,2020-12-01,12,2021-12-01,60702736.74751406,18.15275375829936,0.19685199509972054,76496363.23839611,77992959.07316896,10145027.427750492
salvador-IPTU,salvador,IPTU,2021-01-01,2021-01-01,1,2021-02-01,321045951.24377316,19.64657663869168,0.14576706741416923,340721722.3822668,344360853.29377156,9997872.250671698
salvador-IPTU,salvador,IPTU,2021-01-01,2021-01-01,2,2021-03-01,127432294.82771966,18.036018081579183,0.1737229910629609,68068021.6528235,69102945.91003129,9997872.250671698
